"","ENTIDAD","NOM_ENT","MUN","NOM_MUN","LOC","NOM_LOC","VPH_RADIO","VPH_TV","VPH_PC","VPH_TELEF","VPH_CEL","VPH_INTER","TOTHOG","VPH_SINTIC","VPH_SINCINT","VIVTOT","Porcentaje_Internet","Porcentaje_Celular","Porcentaje_TV","Porcentaje_PC","Porcentaje_SinInternet_PC","Porcentaje_SinTic","Categorias"
"1",30,"Veracruz de Ignacio de la Llave",1,"Acajete",0,"Total del Municipio","1959","2216","355","251","1861","500","2630","142","2033",3256,15.3562653562654,57.1560196560197,68.0589680589681,10.9029484029484,62.4385749385749,4.36117936117936,"bajo"
"2",30,"Veracruz de Ignacio de la Llave",2,"Acatlán",0,"Total del Municipio","600","770","118","90","719","208","863","27","618",1164,17.8694158075601,61.7697594501718,66.1512027491409,10.1374570446735,53.0927835051546,2.31958762886598,"bajo"
"3",30,"Veracruz de Ignacio de la Llave",3,"Acayucan",0,"Total del Municipio","13053","19757","4939","5591","19735","7336","23823","1135","15304",29657,24.7361499814546,66.5441548369694,66.618336311832,16.6537411066527,51.6033314225984,3.82708972586573,"medio"
"4",30,"Veracruz de Ignacio de la Llave",4,"Actopan",0,"Total del Municipio","9654","12449","2516","3505","10401","4363","13456","273","8363",17854,24.4371009297636,58.2558530301333,69.7266718942534,14.0920802061163,46.8410440237482,1.52906911616444,"medio"
"5",30,"Veracruz de Ignacio de la Llave",5,"Acula",0,"Total del Municipio","1012","1449","195","136","1417","294","1704","74","1323",2032,14.4685039370079,69.7342519685039,71.3090551181102,9.59645669291339,65.1082677165354,3.64173228346457,"bajo"
"6",30,"Veracruz de Ignacio de la Llave",6,"Acultzingo",0,"Total del Municipio","3004","4924","556","162","4393","1025","5990","516","4779",7284,14.0719384953322,60.3102690829215,67.6002196595277,7.63316858868753,65.6095551894563,7.0840197693575,"bajo"
"7",30,"Veracruz de Ignacio de la Llave",7,"Camarón de Tejeda",0,"Total del Municipio","1213","1745","225","258","1530","356","1930","56","1489",2267,15.70357300397,67.4900749889722,76.9739744155271,9.92501102779003,65.6815174239082,2.47022496691663,"bajo"
"8",30,"Veracruz de Ignacio de la Llave",8,"Alpatláhuac",0,"Total del Municipio","1628","2026","166","251","1391","498","2513","201","1983",3191,15.606392980257,43.59135067377,63.4910686305234,5.20213099341899,62.1435286743967,6.29896584142902,"bajo"
"9",30,"Veracruz de Ignacio de la Llave",9,"Alto Lucero de Gutiérrez Barrios",0,"Total del Municipio","5499","7954","1374","2443","6163","3166","8829","296","5318",11864,26.6857720836143,51.9470667565745,67.0431557653405,11.5812542144302,44.8246797033041,2.49494268374916,"medio"
"10",30,"Veracruz de Ignacio de la Llave",10,"Altotonga",0,"Total del Municipio","10258","13747","2007","1770","12715","4010","16706","1029","12197",21708,18.4724525520545,58.572876358946,63.3268840980284,9.24543946932007,56.186659296112,4.74018794914317,"bajo"
"11",30,"Veracruz de Ignacio de la Llave",11,"Alvarado",0,"Total del Municipio","10346","17049","6196","6017","15976","8369","18444","486","9421",26243,31.890408870937,60.8771862972983,64.9658956674161,23.6101055519567,35.899096902031,1.85192241740655,"alto"
"12",30,"Veracruz de Ignacio de la Llave",12,"Amatitlán",0,"Total del Municipio","1693","2359","377","629","1998","529","2732","133","2050",3349,15.7957599283368,59.6595998805614,70.4389369961182,11.257091669155,61.2123021797551,3.97133472678411,"bajo"
"13",30,"Veracruz de Ignacio de la Llave",13,"Naranjos Amatlán",0,"Total del Municipio","4968","7555","2548","3149","7374","3730","8369","171","4192",10405,35.8481499279193,70.8697741470447,72.6093224411341,24.4882268140317,40.2883229216723,1.64344065353196,"alto"
"14",30,"Veracruz de Ignacio de la Llave",14,"Amatlán de los Reyes",0,"Total del Municipio","9166","11833","2767","2958","11203","5436","13302","363","7354",17602,30.8828542211112,63.6461765708442,67.225315305079,15.7198045676628,41.7793432564481,2.0622656516305,"alto"
"15",30,"Veracruz de Ignacio de la Llave",15,"Angel R. Cabada",0,"Total del Municipio","6211","9106","1426","1546","8616","3092","10876","515","7334",13994,22.0951836501358,61.5692439616979,65.0707446048307,10.1900814634844,52.4081749321138,3.68014863512934,"medio"
"16",30,"Veracruz de Ignacio de la Llave",16,"La Antigua",0,"Total del Municipio","5921","8432","2632","2408","8211","4424","9174","142","4300",12356,35.8044674651991,66.4535448365167,68.2421495629654,21.3013920362577,34.8009064422143,1.14923923599871,"alto"
"17",30,"Veracruz de Ignacio de la Llave",17,"Apazapan",0,"Total del Municipio","975","1382","260","341","1160","351","1520","52","1079",1823,19.2539769610532,63.6313768513439,75.809105869446,14.2622051563357,59.1881513987932,2.85244103126714,"medio"
"18",30,"Veracruz de Ignacio de la Llave",18,"Aquila",0,"Total del Municipio","199","378","4","2","295","67","486","59","415",631,10.6180665610143,46.7511885895404,59.904912836767,0.63391442155309,65.7686212361331,9.35023771790808,"Muy bajo"
